path	size	legacy_candidate	sys_path_hack	duplicate_basename
.archive/cli/run_classifier.py	1232	yes	yes	no
.archive/cli/run_generate_spam_testcases.py	1791	yes	no	no
.archive/cli/run_llm_filter.py	975	yes	yes	no
.archive/cli/run_main.py	1875	yes	yes	no
.archive/cli/run_orchestrator.py	2018	yes	yes	no
.archive/cli/run_rule_filter.py	857	yes	no	no
.archive/cli/run_spam_classifier.py	1623	yes	no	no
.archive/cli/run_spam_filter.py	1501	yes	no	no
.archive/pipeline/main.py	2760	yes	yes	no
.archive/pipeline/main1.py	5357	yes	yes	no
.archive/requirements/requirements-dev.txt	69	yes	no	no
.archive/requirements/requirements.txt	494	yes	no	yes
.archive/spam/__init__.py	90	yes	no	yes
.archive/spam/spam_filter_orchestrator.py	293	yes	no	yes
.archive/src/cli/__init__.py	0	yes	no	yes
.archive/src/cli/sma.py	4367	yes	no	yes
.env.example	199	no	no	yes
.github/dependabot.yml	201	no	no	no
.github/ISSUE_TEMPLATE/bug_report.md	130	no	no	no
.github/PULL_REQUEST_TEMPLATE.md	342	no	no	no
.github/workflows-archive/ci-offline.yml	758	yes	no	no
.github/workflows-archive/ci.yaml	1473	yes	no	no
.github/workflows-archive/docker-ghcr.yml	887	yes	no	no
.github/workflows-archive/interview-addon.yml	593	yes	no	no
.github/workflows-archive/interview.yml	584	yes	no	no
.github/workflows-archive/nightly.yml	736	yes	no	no
.github/workflows-archive/offline-ci.yml	1289	yes	no	no
.github/workflows-archive/release.yml	1528	yes	no	yes
.github/workflows-archive/security.yml	805	yes	no	no
.github/workflows/ci.yml	874	no	no	yes
.gitignore	252	no	no	yes
.portfolio_hidden/.archive/legacy/src/policy_engine.py	65	yes	no	yes
.portfolio_hidden/.archive/legacy/src/sma_types.py	61	yes	no	yes
.portfolio_hidden/.dev/__init__.py	0	no	no	yes
.portfolio_hidden/.dev/apply_classifier_fallback_fix_v1.py	6999	no	no	no
.portfolio_hidden/.dev/apply_docker_ci_v1.py	6395	no	no	no
.portfolio_hidden/.dev/apply_fix_log_writer_v1.py	5507	no	no	no
.portfolio_hidden/.dev/apply_fix_round9.py	3303	no	yes	no
.portfolio_hidden/.dev/apply_imap_debug_v2.py	2564	no	no	no
.portfolio_hidden/.dev/apply_mailer_online_tests_v1.py	3021	no	no	no
.portfolio_hidden/.dev/bootstrap_gh_ci.sh	1738	no	no	no
.portfolio_hidden/.dev/check_env.py	1406	no	no	no
.portfolio_hidden/.dev/cleanup_repo.py	385	no	no	no
.portfolio_hidden/.dev/db_migrate_emails_log.py	2686	no	no	no
.portfolio_hidden/.dev/dedup_cleanup.sh	3737	no	no	no
.portfolio_hidden/.dev/dedupe_requirements.py	866	no	no	no
.portfolio_hidden/.dev/dev_runner.py	996	no	no	no
.portfolio_hidden/.dev/finalize_and_push.sh	916	no	no	no
.portfolio_hidden/.dev/fix_from_pretrained_order.py	3179	no	no	no
.portfolio_hidden/.dev/fix_from_pretrained_order_v2.py	3227	no	no	no
.portfolio_hidden/.dev/fix_from_pretrained_order_v3.py	4270	no	no	no
.portfolio_hidden/.dev/generate_offline_report.py	1884	no	no	no
